Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Total Sales,Rating
Low Fat,NCT30,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.134393836,9.1,48.0718,4.3
Low Fat,NCR42,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.064410783,9.105,33.39,4.3
Low Fat,NCE43,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.17314115,12.5,168.4448,4.3
Low Fat,NCD55,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.040725405,14,43.4454,4.3
Low Fat,FDR46,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.233356571,16.85,146.576,4.3
Low Fat,FDH35,Starchy Foods,2011,OUT010,Tier 3,High,Grocery Store,0.10084386,18.25,166.3526,4.3
Regular,FDB49,Baking Goods,2011,OUT010,Tier 3,High,Grocery Store,0.05046718,8.3,97.6384,4.3
Regular,FDY12,Baking Goods,2011,OUT010,Tier 3,High,Grocery Store,0.235354055,9.8,50.8008,4.3
Regular,FDT11,Breads,2011,OUT010,Tier 3,High,Grocery Store,0.049163321,5.94,186.4556,4.3
Regular,FDR59,Breads,2011,OUT010,Tier 3,High,Grocery Store,0.106894492,14.5,260.4594,4.3
Regular,FDG38,Canned,2011,OUT010,Tier 3,High,Grocery Store,0.088257771,8.975,84.1224,4.3
Regular,FDW26,Dairy,2011,OUT010,Tier 3,High,Grocery Store,0.179191782,11.8,224.2772,4.3
Regular,FDK03,Dairy,2011,OUT010,Tier 3,High,Grocery Store,0.123727659,12.6,253.0356,4.3
Regular,FDQ40,Frozen Foods,2011,OUT010,Tier 3,High,Grocery Store,0.060302689,11.1,175.8712,4.3
Regular,FDR52,Frozen Foods,2011,OUT010,Tier 3,High,Grocery Store,0.127283051,12.65,191.7846,4.3
Regular,FDO08,Fruits and Vegetables,2011,OUT010,Tier 3,High,Grocery Store,0.090008963,11.1,164.0526,4.3
Regular,FDW55,Fruits and Vegetables,2011,OUT010,Tier 3,High,Grocery Store,0.036773101,12.6,250.3092,4.3
Regular,FDC09,Fruits and Vegetables,2011,OUT010,Tier 3,High,Grocery Store,0.044024163,15.5,102.0332,4.3
Regular,FDS32,Fruits and Vegetables,2011,OUT010,Tier 3,High,Grocery Store,0.049634572,17.75,140.2838,4.3
Regular,FDV20,Fruits and Vegetables,2011,OUT010,Tier 3,High,Grocery Store,0.100095288,20.2,125.2678,4.3
Regular,FDS15,Meat,2011,OUT010,Tier 3,High,Grocery Store,0.130657442,9.195,106.4596,4.3
Regular,FDZ51,Meat,2011,OUT010,Tier 3,High,Grocery Store,0.091310237,11.3,96.9094,4.3
Regular,FDU58,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.04855968,6.61,188.4898,4.3
Regular,FDQ45,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0,9.5,182.3608,4.3
Regular,FDU46,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.018623146,10.3,87.854,4.3
Low Fat,FDR48,Baking Goods,2000,OUT013,Tier 3,High,Supermarket Type1,0.131394793,11.65,151.9024,4.3
Low Fat,FDW47,Breads,2000,OUT013,Tier 3,High,Supermarket Type1,0.046336634,15,120.0414,4.3
Low Fat,FDP37,Breakfast,2000,OUT013,Tier 3,High,Supermarket Type1,0.142986863,15.6,130.3994,4.3
Low Fat,FDG50,Canned,2000,OUT013,Tier 3,High,Supermarket Type1,0.015259084,7.405,91.0146,4.3
Low Fat,FDT37,Canned,2000,OUT013,Tier 3,High,Supermarket Type1,0.035240817,14.15,255.5014,4.3
Low Fat,FDA13,Canned,2000,OUT013,Tier 3,High,Supermarket Type1,0.078489577,15.85,39.9506,4.3
Low Fat,FDP26,Dairy,2000,OUT013,Tier 3,High,Supermarket Type1,0.139436695,7.785,103.0306,4.3
Low Fat,FDZ15,Dairy,2000,OUT013,Tier 3,High,Supermarket Type1,0.020853376,13.1,117.4782,4.3
Low Fat,FDD03,Dairy,2000,OUT013,Tier 3,High,Supermarket Type1,0.079739853,13.3,233.03,4.3
Low Fat,DRF03,Dairy,2000,OUT013,Tier 3,High,Supermarket Type1,0.045270426,19.1,38.8138,4.3
Low Fat,FDH16,Frozen Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.052511611,10.5,90.783,4.3
Low Fat,FDD29,Frozen Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.018395194,12.15,251.6698,4.3
Low Fat,FDL40,Frozen Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.011603492,17.7,97.741,4.3
Low Fat,FDY31,Fruits and Vegetables,2000,OUT013,Tier 3,High,Supermarket Type1,0.043526599,5.98,148.4418,4.3
Low Fat,FDO32,Fruits and Vegetables,2000,OUT013,Tier 3,High,Supermarket Type1,0.120443298,6.36,45.406,4.3
Low Fat,FDG32,Fruits and Vegetables,2000,OUT013,Tier 3,High,Supermarket Type1,0.175849067,19.85,222.0772,4.3
Low Fat,NCP29,Health and Hygiene,2000,OUT013,Tier 3,High,Supermarket Type1,0.112177581,8.42,65.9168,4.3
Low Fat,NCS29,Health and Hygiene,2000,OUT013,Tier 3,High,Supermarket Type1,0.069487587,9,266.6884,4.3
Low Fat,NCB06,Health and Hygiene,2000,OUT013,Tier 3,High,Supermarket Type1,0.08226356,17.6,160.492,4.3
Low Fat,NCQ53,Health and Hygiene,2000,OUT013,Tier 3,High,Supermarket Type1,0.018889593,17.6,236.259,4.3
Low Fat,NCW53,Health and Hygiene,2000,OUT013,Tier 3,High,Supermarket Type1,0.0304697,18.35,191.3162,4.3
Low Fat,NCZ30,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0.026163192,6.59,121.5098,4.3
Low Fat,NCA29,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0.027253711,10.5,170.9106,4.3
Low Fat,NCN26,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0,10.85,119.0808,4.3
Low Fat,NCJ18,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0.163805509,12.35,117.6124,4.3
Low Fat,NCS18,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0.042175992,12.65,106.4938,4.3
Low Fat,NCG06,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0.029420857,16.35,256.9646,4.3
Low Fat,NCX30,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0.026598474,16.7,245.8776,4.3
Low Fat,NCT06,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0.038705317,17.1,165.0842,4.3
Low Fat,NCF18,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0.088908547,18.35,192.8504,4.3
Low Fat,NCB18,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0.041256807,19.6,88.8514,4.3
Low Fat,NCJ06,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0.034623782,20.1,118.9782,4.3
Low Fat,NCA06,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0.143164371,20.5,34.919,4.3
Low Fat,NCE42,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0.010593469,21.1,234.2958,4.3
Low Fat,NCP55,Others,2000,OUT013,Tier 3,High,Supermarket Type1,0.011180713,14.65,53.8614,4.3
Low Fat,FDI57,Seafood,2000,OUT013,Tier 3,High,Supermarket Type1,0.053980686,19.85,196.8768,4.3
Low Fat,FDZ33,Snack Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.107307677,10.195,149.8076,4.3
Low Fat,FDT45,Snack Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0,15.85,55.1956,4.3
Low Fat,FDV46,Snack Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.012597384,18.2,141.218,4.3
Low Fat,FDM10,Snack Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.075908374,18.25,213.4218,4.3
Low Fat,DRD37,Soft Drinks,2000,OUT013,Tier 3,High,Supermarket Type1,0.013830218,9.8,45.306,4.3
Low Fat,DRG01,Soft Drinks,2000,OUT013,Tier 3,High,Supermarket Type1,0.044840933,14.8,78.367,4.3
Low Fat,FDF35,Starchy Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.153861181,15,108.5938,4.3
Regular,FDT12,Baking Goods,2000,OUT013,Tier 3,High,Supermarket Type1,0.049580407,6.215,227.4062,4.3
Regular,FDZ59,Baking Goods,2000,OUT013,Tier 3,High,Supermarket Type1,0.103935018,6.63,166.85,4.3
Regular,FDY11,Baking Goods,2000,OUT013,Tier 3,High,Supermarket Type1,0.029535852,6.71,67.5142,4.3
Regular,FDI48,Baking Goods,2000,OUT013,Tier 3,High,Supermarket Type1,0.055672032,11.85,50.5666,4.3
Regular,FDY47,Breads,2000,OUT013,Tier 3,High,Supermarket Type1,0.05443912,8.6,128.831,4.3
Regular,FDR59,Breads,2000,OUT013,Tier 3,High,Supermarket Type1,0.063810405,14.5,263.2594,4.3
Regular,FDY01,Canned,2000,OUT013,Tier 3,High,Supermarket Type1,0.170141787,11.8,116.7834,4.3
Regular,FDV04,Frozen Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.149890395,7.825,159.0288,4.3
Regular,FDR52,Frozen Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.075981306,12.65,192.3846,4.3
Regular,FDH17,Frozen Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.016639482,16.2,95.8726,4.3
Regular,FDE17,Frozen Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.054410179,20.1,151.3366,4.3
Regular,FDA07,Fruits and Vegetables,2000,OUT013,Tier 3,High,Supermarket Type1,0.030918873,7.55,123.9072,4.3
Regular,FDE20,Fruits and Vegetables,2000,OUT013,Tier 3,High,Supermarket Type1,0.005525913,11.35,168.279,4.3
Regular,FDK20,Fruits and Vegetables,2000,OUT013,Tier 3,High,Supermarket Type1,0.04152307,12.6,124.3072,4.3
Regular,FDA55,Fruits and Vegetables,2000,OUT013,Tier 3,High,Supermarket Type1,0.056941603,17.2,222.5088,4.3
Regular,FDW07,Fruits and Vegetables,2000,OUT013,Tier 3,High,Supermarket Type1,0.142570104,18,88.2514,4.3
Regular,FDW32,Fruits and Vegetables,2000,OUT013,Tier 3,High,Supermarket Type1,0.094218363,18.35,83.9882,4.3
Regular,FDC08,Fruits and Vegetables,2000,OUT013,Tier 3,High,Supermarket Type1,0.103363904,19,226.172,4.3
Regular,FDM51,Meat,2000,OUT013,Tier 3,High,Supermarket Type1,0.025904648,11.8,102.4674,4.3
Regular,FDR27,Meat,2000,OUT013,Tier 3,High,Supermarket Type1,0.096020459,15.1,133.7942,4.3
Regular,FDJ10,Snack Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.129395895,5.095,140.3838,4.3
Regular,FDK10,Snack Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.040325274,5.785,180.466,4.3
Regular,FDL57,Snack Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.067020992,15.1,260.3304,4.3
Regular,FDN34,Snack Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0,15.6,170.6132,4.3
Regular,FDC34,Snack Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.172615327,16,154.5972,4.3
Regular,DRB13,Soft Drinks,2000,OUT013,Tier 3,High,Supermarket Type1,0.007038478,6.115,189.253,4.3
Regular,DRZ11,Soft Drinks,2000,OUT013,Tier 3,High,Supermarket Type1,0.112571187,8.85,122.0388,4.3
Regular,DRL01,Soft Drinks,2000,OUT013,Tier 3,High,Supermarket Type1,0.077108099,19.5,232.8958,4.3
LF,FDN09,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.035016754,14.15,245.3828,4.3
LF,DRD25,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.079293753,6.135,111.286,4.3
Low Fat,FDH48,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0,13.5,84.554,4.3
Low Fat,FDL36,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.076385385,15.1,88.483,4.3
Low Fat,FDZ48,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.07626905,17.75,113.1544,4.3
Low Fat,FDO60,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0,20,43.4086,4.3
Low Fat,FDK38,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.053506996,6.65,150.0734,4.3
Low Fat,DRG27,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0,8.895,42.0138,4.3
Low Fat,DRF27,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.028533032,8.93,151.434,4.3
Low Fat,FDB15,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.137368051,10.895,264.3568,4.3
Low Fat,DRE03,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.024325592,19.6,48.5718,4.3
Low Fat,FDL16,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.169139066,12.85,46.406,4.3
Low Fat,FDF05,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.026980351,17.5,262.591,4.3
Low Fat,FDB21,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.149125615,7.475,241.6854,4.3
Low Fat,FDD09,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.021583971,13.5,179.5976,4.3
Low Fat,FDG57,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.072592873,14.7,48.5034,4.3
Low Fat,FDX19,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.097127867,19.1,234.4958,4.3
Low Fat,DRQ35,Hard Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.042463728,9.3,121.9388,4.3
Low Fat,NCP29,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.112728355,8.42,65.8168,4.3
Low Fat,NCR53,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0,12.15,224.4404,4.3
Low Fat,NCQ53,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.018982338,17.6,237.059,4.3
Low Fat,NCT42,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0249887,5.88,150.3392,4.3
Low Fat,NCT30,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.080619969,9.1,47.4718,4.3
Low Fat,NCI06,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.047912071,11.3,179.866,4.3
Low Fat,NCK30,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.061226969,14.85,253.0698,4.3
Low Fat,NCW06,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.050545502,16.2,191.6162,4.3
Low Fat,NCI42,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.01040777,18.75,209.4954,4.3
Low Fat,NCV30,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.066200667,20.2,61.451,4.3
Low Fat,NCP06,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.039405676,20.7,149.8366,4.3
Low Fat,FDN15,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.016802225,17.5,138.518,4.3
Low Fat,NCN19,Others,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.012148836,13.1,191.353,4.3
Low Fat,FDX21,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.085312137,7.05,107.4912,4.3
Low Fat,FDT58,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.08630486,9,168.0816,4.3
Low Fat,FDT22,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.112553853,10.395,59.022,4.3
Low Fat,FDY45,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.026248606,17.5,255.1356,4.3
Low Fat,FDU34,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.075501241,18.25,123.1046,4.3
Low Fat,FDN21,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.077168705,18.6,160.6236,4.3
Low Fat,FDO58,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.039738393,19.6,163.7526,4.3
Low Fat,DRG49,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.067730081,7.81,242.6486,4.3
Low Fat,DRE48,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.017396308,8.43,196.0768,4.3
Low Fat,DRI49,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.184254826,14.15,82.4276,4.3
Low Fat,DRD13,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.049279392,15,65.7168,4.3
Low Fat,DRI37,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.108036187,15.85,57.3904,4.3
Low Fat,DRG13,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.037337632,17.25,163.7526,4.3
Regular,FDX48,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.038042233,17.75,154.2656,4.3
Regular,FDX47,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.034745307,6.55,158.8288,4.3
Regular,FDL13,Breakfast,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.056547986,13.85,232.73,4.3
Regular,FDA37,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.055451725,7.81,122.6046,4.3
Regular,FDP13,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.134870732,8.1,41.948,4.3
Regular,FDQ25,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.028391879,8.63,173.9422,4.3
Regular,FDE14,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.031573246,13.65,99.47,4.3
Regular,FDA01,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.054599767,15,59.4904,4.3
Regular,FDW38,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.139244918,5.325,53.0298,4.3
Regular,FDJ03,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.072689818,12.35,48.7692,4.3
Regular,FDK03,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.074221559,12.6,255.9356,4.3
Regular,FDC40,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.065328932,16,78.4986,4.3
Regular,FDT26,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.06823032,18.85,121.044,4.3
Regular,FDM16,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.033692089,8.155,76.2354,4.3
Regular,FDH05,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.091283986,14.35,232.6984,4.3
Regular,FDO31,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.029100745,6.76,80.696,4.3
Regular,FDN08,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0,7.72,117.7466,4.3
Regular,FDC33,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.069219165,8.96,196.5768,4.3
Regular,FDO08,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0,11.1,165.5526,4.3
Regular,FDW19,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.038657256,12.35,110.257,4.3
Regular,FDY20,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.082085787,12.5,92.2488,4.3
Regular,FDV19,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.035400659,14.85,161.9578,4.3
Regular,FDF45,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.012254429,18.2,59.9904,4.3
Regular,FDQ27,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.044432887,5.19,102.899,4.3
Regular,FDY39,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.047220268,5.305,181.9608,4.3
Regular,FDM27,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.15911489,12.35,158.1946,4.3
Regular,FDU51,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.096906831,20.2,175.5028,4.3
Regular,FDS45,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.029616108,5.175,107.7622,4.3
Regular,FDK10,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.040523265,5.785,177.866,4.3
Regular,FDO46,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.014270394,9.6,187.3872,4.3
Regular,FDL57,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.067350054,15.1,257.3304,4.3
Regular,FDS46,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.047449835,17.6,118.1782,4.3
Regular,DRC13,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.032573725,8.26,125.073,4.3
Regular,FDE23,Starchy Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.053397642,17.6,46.706,4.3
low fat,DRJ01,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.115500999,6.135,161.1236,4.3
reg,FDA04,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.067001825,11.3,259.1962,4.3
reg,FDS31,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.044372393,13.1,180.3318,4.3
LF,FDX60,Baking Goods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.080203852,,77.996,4.3
LF,FDM20,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0,,245.0144,4.3
LF,FDW08,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.147663025,,106.028,4.3
LF,NCR50,Household,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.011762847,,153.534,4.3
Low Fat,FDE24,Baking Goods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.093010026,,143.0812,4.3
Low Fat,FDJ48,Baking Goods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.056161529,,246.9118,4.3
Low Fat,FDO60,Baking Goods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.034203092,,43.3086,4.3
Low Fat,FDR48,Baking Goods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.130867413,,150.8024,4.3
Low Fat,FDA13,Canned,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.078174543,,39.9506,4.3
Low Fat,FDF50,Canned,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.116762173,,198.9768,4.3
Low Fat,FDN02,Canned,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.073470234,,205.3638,4.3
Low Fat,DRE15,Dairy,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.01769927,,74.2012,4.3
Low Fat,DRF27,Dairy,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.02827966,,152.234,4.3
Low Fat,FDC17,Frozen Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.015385857,,208.9928,4.3
Low Fat,FDH41,Frozen Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.081614376,,214.7534,4.3
Low Fat,FDX28,Frozen Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0,,100.7042,4.3
Low Fat,FDB08,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.030952737,,160.1578,4.3
Low Fat,FDC32,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.098629062,,90.6462,4.3
Low Fat,FDC44,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.171761077,,115.7518,4.3
Low Fat,FDD08,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.035183156,,37.8506,4.3
Low Fat,FDD20,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.020614212,,126.4046,4.3
Low Fat,FDE08,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.049080853,,147.7734,4.3
Low Fat,FDE57,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.036109413,,140.6154,4.3
Low Fat,FDL20,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.127792701,,111.1886,4.3
Low Fat,FDN20,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.026055106,,169.5474,4.3
Low Fat,DRK59,Hard Drinks,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.075084457,,233.9616,4.3
Low Fat,NCQ17,Health and Hygiene,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.116366304,,158.363,4.3
Low Fat,NCQ41,Health and Hygiene,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.019386057,,194.5794,4.3
Low Fat,NCC18,Household,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.176411579,,173.2422,4.3
Low Fat,NCH55,Household,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.034504414,,125.202,4.3
Low Fat,NCL54,Household,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.082353076,,176.9054,4.3
Low Fat,NCO14,Household,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.029500321,,46.2086,4.3
Low Fat,NCX54,Household,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.047827139,,105.3622,4.3
Low Fat,FDI19,Meat,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.052085615,,242.8512,4.3
Low Fat,FDL43,Meat,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.026933321,,78.467,4.3
Low Fat,FDN15,Meat,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.016653022,,139.518,4.3
Low Fat,FDP15,Meat,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.083536071,,255.433,4.3
Low Fat,FDQ39,Meat,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.080649685,,189.9846,4.3
Low Fat,FDT03,Meat,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.009950343,,185.5608,4.3
Low Fat,FDV51,Meat,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.032381325,,166.1842,4.3
Low Fat,FDY51,Meat,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.080741927,,220.8798,4.3
Low Fat,NCM43,Others,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.01938106,,164.321,4.3
Low Fat,FDP33,Snack Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.088839949,,254.2672,4.3
Low Fat,FDV21,Snack Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.170254469,,124.8704,4.3
Low Fat,DRD25,Soft Drinks,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.078589629,,113.286,4.3
Low Fat,DRE25,Soft Drinks,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.072928316,,94.412,4.3
Low Fat,DRF36,Soft Drinks,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.023463124,,190.6846,4.3
Low Fat,DRG13,Soft Drinks,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.037006076,,164.7526,4.3
Low Fat,DRK13,Soft Drinks,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.114609875,,197.0084,4.3
Regular,FDN23,Breads,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.075142108,,145.8444,4.3
Regular,FDS59,Breads,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.04368089,,110.157,4.3
Regular,FDZ35,Breads,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.022170592,,105.199,4.3
